city,state
Naraingarh,Haryana
Nāravārikuppam,Tamil Nadu
Naraura,Uttar Pradesh
Narauli,Uttar Pradesh
Narasaraopet,Andhra Pradesh
Narasapur,Andhra Pradesh
Narasannapeta,Andhra Pradesh
Narakal,Kerala
Nārāinpur,Chhattisgarh
Naraini,Madhya Pradesh
Naraina,Rajasthan
Napāsar,Rajasthan
Nānpāra,Uttar Pradesh
Nanjangūd,Karnataka
Nāngloi Jāt,Delhi
Nangal,Punjab
Nandyāl,Andhra Pradesh
Nandurbar,Maharashtra
Nāndūra,Maharashtra
Nandikotkūr,Andhra Pradesh
Nandigāma,Andhra Pradesh
Nāndgaon,Maharashtra
Nanded,Maharashtra
Nanauta,Uttar Pradesh
Nāmrup,Assam
Nambiyūr,Tamil Nadu
Nāmakkal,Tamil Nadu
Nāmagiripettai,Tamil Nadu
Nal Khera,Madhya Pradesh
Nalhāti,West Bengal
Nalgonda,Telangana
Naldurg,Maharashtra
Nalbāri,Assam
Nakūr,Uttar Pradesh
Naksalbāri,West Bengal
Nakrekal,Telangana
Nakodar,Punjab
Najībābād,Uttar Pradesh
Najafgarh,Delhi
Nainwa,Rajasthan
Nainpur,Madhya Pradesh
Naini Tāl,Uttarakhand
Naihāti,West Bengal
Nahorkatiya,Assam
Nāhan,Himachal Pradesh
Nagpur,Maharashtra
Nāgod,Madhya Pradesh
Nagīna,Uttar Pradesh
Nāgercoil,Tamil Nadu
Nagda,Madhya Pradesh
Nāgaur,Rajasthan
Nāgar Karnūl,Telangana
Nagari,Andhra Pradesh
Nagar,Rajasthan
Nagapattinam,Tamil Nadu
Nāgamangala,Karnataka
Nagalapuram,Andhra Pradesh
Naduvannūr,Kerala
Nadiād,Gujarat
Nādbai,Rajasthan
Nādāpuram,Kerala
Nabīnagar,Bihar
Nābha,Punjab
Mysuru,Karnataka
Muzaffarpur,Bihar
Muzaffarnagar,Uttar Pradesh
Mūvattupula,Kerala
Muthupet,Tamil Nadu
Mussoorie,Uttarakhand
Musiri,Tamil Nadu
Mushābani,Jharkhand
Murwāra,Madhya Pradesh
Murtajāpur,Maharashtra
Murshidābād,West Bengal
Murlīganj,Bihar
Morinda,Punjab
Murbād,Maharashtra
Murādnagar,Uttar Pradesh
Munnar,Kerala
Munger,Bihar
Mungeli,Chhattisgarh
Mungaoli,Madhya Pradesh
Mūndwa,Rajasthan
Mundra,Gujarat
Mundgod,Karnataka
Mundargi,Karnataka
Multai,Madhya Pradesh
Mūlki,Karnataka
Mulgund,Karnataka
Mulbāgal,Karnataka
Muluppilagadu,Kerala
Mūlanūr,Tamil Nadu
Mūl,Maharashtra
Muktsar,Punjab
Mukher,Maharashtra
Mukeriān,Punjab
Muhammadābād,Uttar Pradesh
Muhammadābād,Uttar Pradesh
Muhammadābād,Uttar Pradesh
Mughal Sarāi,Uttar Pradesh
Mudkhed,Maharashtra
Mudhol,Karnataka
Mudgal,Karnataka
Muddebihāl,Karnataka
Mūdbidri,Karnataka
Mubarakpur,Uttar Pradesh
Mothīhāri,Bihar
Morwa,Gujarat
Morsi,Maharashtra
Morena,Madhya Pradesh
Morvi,Gujarat
Morār,Madhya Pradesh
Moram,Maharashtra
Morādābād,Uttar Pradesh
Mon,Nagaland
Mokokchūng,Nagaland
Mokameh,Bihar
Moirāng,Manipur
Moga,Punjab
Modāsa,Gujarat
Misrikh,Uttar Pradesh
Mirzāpur,Uttar Pradesh
Miryalaguda,Telangana
Mīrganj,Uttar Pradesh
Mīrānpur Katra,Uttar Pradesh
Mīrānpur,Uttar Pradesh
Mīnjūr,Tamil Nadu
Milak,Uttar Pradesh
Mihona,Madhya Pradesh
Mhow,Madhya Pradesh
Mhaswad,Maharashtra
Mettur,Tamil Nadu
Mettupalayam,Tamil Nadu
Merta,Rajasthan
Mennānyam,Kerala
Mendarda,Gujarat
Memāri,West Bengal
Melur,Tamil Nadu
Mehsi,Bihar
Mehndāwal,Uttar Pradesh
Mehkar,Maharashtra
Meerut,Uttar Pradesh
Medinīpur,West Bengal
Medchal,Telangana
Medak,Telangana
Mayiladuthurai,Tamil Nadu
Mayāng Imphāl,Manipur
Māyābandar,Andaman and Nicobar
Mawāna,Uttar Pradesh
Mavoor,Kerala
Māvelikara,Kerala
Maur,Punjab
Mauganj,Madhya Pradesh
Maudaha,Uttar Pradesh
Mau Aimma,Uttar Pradesh
Mau,Madhya Pradesh
Mau,Uttar Pradesh
Mattigiri,Tamil Nadu
Mattanur,Kerala
Mathura,Uttar Pradesh
Mātābhānga,West Bengal
Masaurhi Buzurg,Bihar
Mormugao,Goa
Mārkāpur,Andhra Pradesh
Mariāni,Assam
Mariāhu,Uttar Pradesh
Marhaura,Bihar
Margherita,Assam
Marakkanam,Tamil Nadu
Marayur,Kerala
Mārahra,Uttar Pradesh
Mapusa,Goa
Manwath,Maharashtra
Mānvi,Karnataka
Manthani,Telangana
Mānsa,Punjab
Mānsa,Gujarat
Manoharpur,Rajasthan
Mannargudi,Tamil Nadu
Mannārakkāt,Kerala
Manmād,Maharashtra
Mankāchar,Meghalaya
Majalgaon,Maharashtra
Manjhanpur,Uttar Pradesh
Manjeri,Kerala
Manipal,Karnataka
Mani Mājra,Haryana
Manihāri,Bihar
Maniar,Uttar Pradesh
Mangrūl Pīr,Maharashtra
Māngrol,Rajasthan
Māngrol,Gujarat
Manglaur,Uttarakhand
Mangalvedha,Maharashtra
Mangaluru,Karnataka
Mangaldai,Assam
Mangalagiri,Andhra Pradesh
Maner,Bihar
Mandya,Karnataka
Māndvi,Gujarat
Māndvi,Gujarat
Mandsaur,Madhya Pradesh
Mandlā,Madhya Pradesh
Mandi Dabwāli,Haryana
Mandi,Himachal Pradesh
Mandāwar,Uttar Pradesh
Mandāwa,Rajasthan
Mandapeta,Andhra Pradesh
Mandapam,Tamil Nadu
Māndalgarh,Rajasthan
Māndal,Rajasthan
Mancherial,Telangana
Manchar,Maharashtra
Manāwar,Madhya Pradesh
Mānāvadar,Gujarat
Manāsa,Madhya Pradesh
Manapparai,Tamil Nadu
Manamadurai,Tamil Nadu
Manali,Tamil Nadu
Mahabalipuram,Tamil Nadu
Mālvan,Maharashtra
Mālūr,Karnataka
Mālpura,Rajasthan
Malpe,Karnataka
Mallasamudram,Tamil Nadu
Malkāpur,Maharashtra
Malakanagiri,Odisha
Māliya,Gujarat
Malīhābād,Uttar Pradesh
Māler Kotla,Punjab
Malegaon,Maharashtra
Malavalli,Karnataka
Malout,Punjab
Malappuram,Kerala
Mukandgarh,Rajasthan
Mākum,Assam
Maksi,Madhya Pradesh
Makrāna,Rajasthan
Majhiāon Kalān,Jharkhand
Mairwa,Bihar
Mainpuri,Uttar Pradesh
Maināguri,West Bengal
Maihar,Madhya Pradesh
Mahwa,Rajasthan
Mahuva,Gujarat
Mahudha,Gujarat
Maholi,Uttar Pradesh
Mahobā,Uttar Pradesh
Mahmudābād,Uttar Pradesh
Mahīshādal,West Bengal
Mahgawān,Madhya Pradesh
Maheshwar,Madhya Pradesh
Mahesāna,Gujarat
Mahendragarh,Haryana
Mahemdāvād,Gujarat
Mahē,Kerala
Mahbūbnagar,Telangana
Mahbūbābād,Telangana
Mahāsamund,Chhattisgarh
Mahārāganj,Uttar Pradesh
Mahārājgani,Bihar
Maham,Haryana
Mahālingpur,Karnataka
Mahād,Maharashtra
Maghar,Uttar Pradesh
Māgadi,Karnataka
Madurāntakam,Tamil Nadu
Madurai,Tamil Nadu
Madukkūr,Tamil Nadu
Madukkarai,Tamil Nadu
Chennai,Tamil Nadu
Madikeri,Karnataka
Madhyamgram,West Bengal
Madhupur,Jharkhand
Madhugiri,Karnataka
Madhubani,Bihar
Madhuban,Bihar
Madhepura,Bihar
Madgaon,Goa
Maddūr,Karnataka
Madattukkulam,Tamil Nadu
Madanapalle,Andhra Pradesh
Machilīpatnam,Andhra Pradesh
Machhlīshahr,Uttar Pradesh
Māchhīwāra,Punjab
Mācherla,Andhra Pradesh
Lunglei,Mizoram
Lūnāvāda,Gujarat
Ludhiana,Punjab
Lucknow,Uttar Pradesh
Luckeesarai,Bihar
Losal,Rajasthan
Lormi,Chhattisgarh
Loni,Uttar Pradesh
Lonavla,Maharashtra
Lonar,Maharashtra
Lonand,Maharashtra
Lohārdagā,Jharkhand
Lohāra,Maharashtra
Lingsugūr,Karnataka
Limbdi,Gujarat
Leteri,Madhya Pradesh
Leh,Ladakh
Lawngtlai,Mizoram
Loha,Maharashtra
Lāwar Khās,Uttar Pradesh
Lauri,Madhya Pradesh
Laungowāl,Punjab
Latur,Maharashtra
Lāthi,Gujarat
Lātehār,Jharkhand
Lāsalgaon,Maharashtra
Lar,Uttar Pradesh
Lālsot,Rajasthan
Lālpur,Gujarat
Lalitpur,Uttar Pradesh
Lalgudi,Tamil Nadu
Lālgola,West Bengal
Lālganj,Uttar Pradesh
Lālganj,Bihar
Lakshmeshwar,Karnataka
Laksar,Uttarakhand
Lakhyabad,West Bengal
Lakhnādon,Madhya Pradesh
Lakhipur,Assam
Lakhīmpur,Uttar Pradesh
Lākheri,Rajasthan
Lāharpur,Uttar Pradesh
Lahār,Madhya Pradesh
Lādwa,Haryana
Lādnūn,Rajasthan
Laxmangarh,Rajasthan
Kuzhithurai,Tamil Nadu
Kuttuparamba,Kerala
Kuttippuram,Kerala
Koothanallur,Tamil Nadu
Kuttampuzha,Kerala
Kuthalam,Tamil Nadu
Kutiyāna,Gujarat
Kutiatodu,Kerala
Kushtagi,Karnataka
Kushālnagar,Karnataka
Kurnool,Andhra Pradesh
Kurinjippādi,Tamil Nadu
Kurduvādi,Maharashtra
Kurandvād,Maharashtra
Kūrāli,Punjab
Kuppam,Andhra Pradesh
Kunnamkulam,Kerala
Kunnamangalam,Kerala
Kunigal,Karnataka
Kundla,Gujarat
Kundgol,Karnataka
Kundarkhi,Uttar Pradesh
Kunda,Uttar Pradesh
Kumta,Karnataka
Kūmher,Rajasthan
Kumhāri,Chhattisgarh
Kumbhrāj,Madhya Pradesh
Kumbakonam,Tamil Nadu
Kulu,Himachal Pradesh
Kulti,West Bengal
Kulpahār,Uttar Pradesh
Kulittalai,Tamil Nadu
Kulgam,Jammu and Kashmir
Kulasegaram,Tamil Nadu
Kukshi,Madhya Pradesh
Kukatpally,Telangana
Kuju,Jharkhand
Kūdligi,Karnataka
Kudāl,Maharashtra
Kudachi,Karnataka
Kuchera,Rajasthan
Kuchāman,Rajasthan
Rairangpur,Odisha
Krishnarājpet,Karnataka
Krishnarājāsāgara,Karnataka
Krishnanagar,West Bengal
Krishnagiri,Tamil Nadu
Kozhikode,Kerala
Koynanagar,Maharashtra
Kovvūr,Andhra Pradesh
Kovūr,Andhra Pradesh
Kovilpatti,Tamil Nadu
Kottūru,Karnataka
Kōttayam,Kerala
Kottayam,Kerala
Kottārakara,Kerala
Kōttakkal,Kerala
Kottagūdem,Telangana
Kotputli,Rajasthan
Kotma,Madhya Pradesh
Kot Kapūra,Punjab
Kotharia,Gujarat
Kothakota,Telangana
Kotdwāra,Uttarakhand
Kotapārh,Chhattisgarh
Kotamangalam,Kerala
Kotagiri,Tamil Nadu
Kota,Rajasthan
Kotā,Chhattisgarh
Kosigi,Andhra Pradesh
Kosi,Uttar Pradesh
Kosamba,Gujarat
Korwai,Madhya Pradesh
Koregaon,Maharashtra
Koregaon,Maharashtra
Korba,Chhattisgarh
Koratla,Telangana
Koratagere,Karnataka
Koraput,Odisha
Koppal,Karnataka
Kopargaon,Maharashtra
Kopāganj,Uttar Pradesh
Konnūr,Karnataka
Konnagar,West Bengal
Kondotty,Kerala
Kondapalle,Andhra Pradesh
Kondagaon,Chhattisgarh
Konch,Uttar Pradesh
Konārka,Odisha
Kombai,Tamil Nadu
Kolasib,Mizoram
Kollegāl,Karnataka
Kolhāpur,Maharashtra
Kolāras,Madhya Pradesh
Kolār,Karnataka
Colachel,Tamil Nadu
Kokrajhar,Assam
Kohima,Nagaland
Koelwār,Bihar
Kodungallūr,Kerala
Kodoli,Maharashtra
Kodīnar,Gujarat
Kodarma,Jharkhand
Kodār,Telangana
Kodaikānāl,Tamil Nadu
Kuchinda,Odisha
Koch Bihār,West Bengal
Koāth,Bihar
Kizhake Chālakudi,Kerala
Kithor,Uttar Pradesh
Kishtwār,Jammu and Kashmir
Renwāl,Rajasthan
Kishangarh,Rajasthan
Kishanganj,Bihar
Kīratpur,Uttar Pradesh
Kiraoli,Uttar Pradesh
Ulundurpet,Tamil Nadu
Kinwat,Maharashtra
Kichha,Uttarakhand
Khūtār,Uttar Pradesh
Khusropur,Bihar
Khurja,Uttar Pradesh
Khordha,Odisha
Khurai,Madhya Pradesh
Khunti,Jharkhand
Khuldābād,Maharashtra
Khowai,Tripura
Khopoli,Maharashtra
Khirkiya,Madhya Pradesh
Khilchipur,Madhya Pradesh
Khetri,Rajasthan
Khetia,Maharashtra
Kheri,Uttar Pradesh
Kherālu,Gujarat
Khekra,Uttar Pradesh
Khedbrahma,Gujarat
Kheda,Gujarat
Khed,Maharashtra
Khātra,West Bengal
Khatīma,Uttarakhand
Khātegaon,Madhya Pradesh
Khatauli,Uttar Pradesh
Khārupatia,Assam
Kharsia,Chhattisgarh
Kharkhauda,Haryana
Kharhiāl,Odisha
Khargone,Madhya Pradesh
Khardah,West Bengal
Kharar,Punjab
Kharakvasla,Maharashtra
Kharagpur,Bihar
Kharagpur,West Bengal
Khāpa,Maharashtra
Khanna,Punjab
Khaniādhāna,Madhya Pradesh
Khandwa,Madhya Pradesh
Khandela,Rajasthan
Khānāpur,Karnataka
Khammam,Telangana
Khāmgaon,Maharashtra
Khambhāt,Gujarat
Khambhāliya,Gujarat
Khamaria,Madhya Pradesh
Khalīlābād,Uttar Pradesh
Khali Kachigam,Dadra and Nagar Haveli and Daman and Diu
Khalāri,Jharkhand
Khajuraho Group of Monuments,Madhya Pradesh
Khairāgarh,Uttar Pradesh
Khairāgarh,Chhattisgarh
Khairābād,Uttar Pradesh
Khair,Uttar Pradesh
Khagaul,Bihar
Khagaria,Bihar
Khadki,Maharashtra
Khada,Uttar Pradesh
Khāchrod,Madhya Pradesh
Kaithoon,Rajasthan
Kesinga,Odisha
Keshorai Pātan,Rajasthan
Keshod,Gujarat
Kesariyā,Bihar
Kerūr,Karnataka
Keonjhargarh,Odisha
Kendrāparha,Odisha
Kenda,West Bengal
Kemrī,Uttar Pradesh
Kekri,Rajasthan
Kayamkulam,Kerala
Kayalpattinam,Tamil Nadu
Kawardha,Chhattisgarh
Kāveripatnam,Tamil Nadu
Kāvali,Andhra Pradesh
Kattivākkam,Tamil Nadu
Kattanam,Kerala
Kātrās,Jharkhand
Kātpādi,Tamil Nadu
Kātoya,West Bengal
Kātol,Maharashtra
Katihar,Bihar
Kathua,Jammu and Kashmir
Kāthor,Gujarat
Kathlāl,Gujarat
Katghora,Chhattisgarh
Katangi,Madhya Pradesh
Katangi,Madhya Pradesh
Kasrāwad,Madhya Pradesh
Kāsībugga,Andhra Pradesh
Kashipur,Uttarakhand
Kāsganj,Uttar Pradesh
Kāsaragod,Kerala
Kasāra,Maharashtra
Chitrakoot Dham,Uttar Pradesh
Karwar,Karnataka
Karur,Tamil Nadu
Karungappalli,Kerala
Karumattampatti,Tamil Nadu
Kartārpur,Punjab
Kurseong,West Bengal
Karol Bāgh,Delhi
Karnāl,Haryana
Karmāla,Maharashtra
Kārkala,Karnataka
Karjat,Maharashtra
Kariapatti,Tamil Nadu
Karīmnagar,Telangana
Karīmganj,Assam
Karhal,Uttar Pradesh
Kargil,Ladakh
Karera,Madhya Pradesh
Kareli,Madhya Pradesh
Karauli,Rajasthan
Karanjiā,Odisha
Kāranja,Maharashtra
Karamsad,Gujarat
Kāramadai,Tamil Nadu
Kāraikkudi,Tamil Nadu
Kāraikāl,Puducherry
Karād,Maharashtra
Kapurthala Town,Punjab
Kāpren,Rajasthan
Kapasan,Rajasthan
Kapadvanj,Gujarat
Kānth,Uttar Pradesh
Kantai,Bihar
Kantābānji,Odisha
Kānt,Uttar Pradesh
Kanpur,Uttar Pradesh
Kannod,Madhya Pradesh
Kanniyākumāri,Tamil Nadu
Kannauj,Uttar Pradesh
Kanhangad,Kerala
Kannad,Maharashtra
Kānker,Chhattisgarh
Kānke,Jharkhand
Kankauli,Maharashtra
Kanigiri,Andhra Pradesh
Kangayam,Tamil Nadu
Kandukūr,Andhra Pradesh
Kāndla,Gujarat
Kāndi,West Bengal
Kāndhla,Uttar Pradesh
Kandahār,Maharashtra
Kanchipuram,Tamil Nadu
Kanakapura,Karnataka
Kāmthi,Maharashtra
Kampli,Karnataka
Cumbum,Tamil Nadu
Kāmārhāti,West Bengal
Kāmāreddi,Telangana
Kāman,Rajasthan
Kamalganj,Uttar Pradesh
Kāmākhyānagar,Odisha
Kalyani,West Bengal
Kalyān,Maharashtra
Kalwākurti,Telangana
Kalugumalai,Tamil Nadu
Kālpi,Uttar Pradesh
Kalpatta,Kerala
Kalol,Gujarat
Kālol,Gujarat
Kālna,West Bengal
Kalmeshwar,Maharashtra
Kallidaikurichi,Tamil Nadu
Kallakkurichchi,Tamil Nadu
Kālka,Himachal Pradesh
Kāliyāganj,West Bengal
Kālimpong,West Bengal
Kalghatgi,Karnataka
Kālāvad,Gujarat
Kālānwāli,Haryana
Kalānaur,Haryana
Kalamnūri,Maharashtra
Kalamb,Maharashtra
Kallam,Maharashtra
Kalakkādu,Tamil Nadu
Kalāyat,Haryana
Kakrāla,Uttar Pradesh
Kākori,Uttar Pradesh
Kākināda,Andhra Pradesh
Kakdwip,West Bengal
Kakching,Manipur
Kaithal,Haryana
Kairāna,Uttar Pradesh
Kaimori,Madhya Pradesh
Kaimganj,Uttar Pradesh
Kailāshahar,Tripura
Kailāras,Madhya Pradesh
Kaikalūr,Andhra Pradesh
Kaij,Maharashtra
Kāgal,Maharashtra
Kadūr,Karnataka
Kadod,Gujarat
Kadiri,Andhra Pradesh
Kadikkād,Kerala
Kadi,Gujarat
Kadayanallur,Tamil Nadu
Kānchrāpāra,West Bengal
Kachhwa,Uttar Pradesh
Kabrāi,Uttar Pradesh
Junnar,Maharashtra
Jūnāgarh,Chhattisgarh
Jūnāgadh,Gujarat
Jhumri Telaiya,Jharkhand
Jalandhar,Punjab
Shādīpur Julāna,Haryana
Jugsālai,Jharkhand
Jowai,Meghalaya
Jorhat,Assam
Jora,Madhya Pradesh
Jalārpet,Tamil Nadu
Jogipet,Telangana
Jogbani,Bihar
Jodiya Bandar,Gujarat
Jodhpur,Rajasthan
Jodhpur,Gujarat
Jintūr,Maharashtra
Jining,Arunachal Pradesh
Jīnd,Haryana
Jigani,Karnataka
Jhūsi,Uttar Pradesh
Jhunjhunūn,Rajasthan
Jhinjhāna,Uttar Pradesh
Jhīnjhak,Uttar Pradesh
Jharsuguda,Odisha
Jharia,Jharkhand
Jhārgrām,West Bengal
Jhānsi,Uttar Pradesh
Jhanjhārpur,Bihar
Jhālu,Uttar Pradesh
Jhālrapātan,Rajasthan
Jhālod,Gujarat
Jhalidā,West Bengal
Jhālāwār,Rajasthan
Jhajjar,Haryana
Jhajha,Bihar
Jhābua,Madhya Pradesh
Jewar,Uttar Pradesh
Jevargi,Karnataka
Jetpur,Gujarat
Jeypore,Odisha
Jainagar,Bihar
Jaynagar Majilpur,West Bengal
Jayamkondacholapuram,Tamil Nadu
Jāwad,Madhya Pradesh
Jaunpur,Uttar Pradesh
Jatāra,Madhya Pradesh
Jatani,Odisha
Jaswantnagar,Uttar Pradesh
Jaspur,Uttarakhand
Jasidih,Jharkhand
Jashpur Nagar,Chhattisgarh
Jasdan,Gujarat
Jarwal,Uttar Pradesh
Jaora,Madhya Pradesh
Jānsath,Uttar Pradesh
Jānjgīr,Chhattisgarh
Jangipur,West Bengal
Jangaon,Telangana
Jandiāla Gurū,Punjab
Jandiāla,Punjab
Jāmuria,West Bengal
Jāmul,Chhattisgarh
Jamūī,Bihar
Jāmtāra,Jharkhand
Jamshedpur,Jharkhand
Jāmner,Maharashtra
Jamnagar,Gujarat
Jammu,Jammu and Kashmir
Jammalamadugu,Andhra Pradesh
Jāmkhed,Maharashtra
Jamkhandi,Karnataka
Jambusar,Gujarat
Gogri Jamālpur,Bihar
Jamālpur,Bihar
Jāmai,Madhya Pradesh
Jāmadoba,Jharkhand
Jalpāiguri,West Bengal
Jalor,Rajasthan
Jālna,Maharashtra
Jalgaon Jamod,Maharashtra
Jalgaon,Maharashtra
Jaleshwar,Odisha
Jalesar,Uttar Pradesh
Jālaun,Uttar Pradesh
Jalālpur,Uttar Pradesh
Jalalpore,Gujarat
Jalālī,Uttar Pradesh
Jalālābād,Punjab
Jalālābad,Uttar Pradesh
Jalālābād,Uttar Pradesh
Jalakandapuram,Tamil Nadu
Jājpur,Odisha
Jaito,Punjab
Jaitāran,Rajasthan
Jaisingpur,Maharashtra
Jaisalmer,Rajasthan
Jais,Uttar Pradesh
Jaipur,Rajasthan
Jahāzpur,Rajasthan
Jahāngīrābād,Uttar Pradesh
Jahānābād,Bihar
Jagtiāl,Telangana
Jagraon,Punjab
Jaggayyapeta,Andhra Pradesh
Jagdīspur,Bihar
Jagdīshpur,Uttar Pradesh
Jagdalpur,Chhattisgarh
Jagatsinghapur,Odisha
Jagalūr,Karnataka
Jagādhri,Haryana
Jāfarābād,Gujarat
Jadcherla,Telangana
Jabalpur,Madhya Pradesh
Etmadpur,Uttar Pradesh
Itārsi,Madhya Pradesh
Itanagar,Arunachal Pradesh
Islāmpur,West Bengal
Islāmpur,Bihar
Islāmnagar,Uttar Pradesh
Irugūr,Tamil Nadu
Irinjālakuda,Kerala
Iringal,Kerala
Malda,West Bengal
Indri,Haryana
Indore,Madhya Pradesh
Indi,Karnataka
Indergarh,Uttar Pradesh
Indargarh,Madhya Pradesh
Indāpur,Maharashtra
Indāpur,Maharashtra
Imphal,Manipur
Ilkal,Karnataka
Ilaiyankudi,Tamil Nadu
Igatpuri,Maharashtra
Idar,Gujarat
Idappadi,Tamil Nadu
Ichhāwar,Madhya Pradesh
Ichchāpuram,Andhra Pradesh
Ichalkaranji,Maharashtra
Hyderabad,Telangana
Hadagalli,Karnataka
Hatti,Karnataka
Husainābād,Jharkhand
Hunsūr,Karnataka
Hungund,Karnataka
Hukeri,Karnataka
Hugli,West Bengal
Hubballi,Karnataka
Howli,Assam
Hosūr,Tamil Nadu
Hosapete,Karnataka
Hoskote,Karnataka
Hoshiārpur,Punjab
Narmadapuram,Madhya Pradesh
Hosadurga,Karnataka
Honnāli,Karnataka
Honnavar,Karnataka
Homnābād,Karnataka
Holenarasipura,Karnataka
Holalkere,Karnataka
Hojāi,Assam
Hodal,Haryana
Hisua,Bihar
Hisar,Haryana
Hiriyūr,Karnataka
Hirekerūr,Karnataka
Hīrākud,Odisha
Hinjilicut,Odisha
Hingoli,Maharashtra
Hinganghāt,Maharashtra
Hindupur,Andhra Pradesh
Hindoria,Madhya Pradesh
Hindaun,Rajasthan
Himatnagar,Gujarat
Hilsa,Bihar
Hazāribāgh,Jharkhand
Hāveri,Karnataka
Hatta,Madhya Pradesh
Hāt Piplia,Madhya Pradesh
Hāthras,Uttar Pradesh
Hastināpur,Uttar Pradesh
Hassan,Karnataka
Hāsimāra,West Bengal
Hasanpur,Uttar Pradesh
Harūr,Tamil Nadu
Harsūd,Madhya Pradesh
Harpanahalli,Karnataka
Harpālpur,Madhya Pradesh
Haripād,Kerala
Hārij,Gujarat
Harihar,Karnataka
Haridwar,Uttarakhand
Hardoī,Uttar Pradesh
Harda,Madhya Pradesh
Hāpur,Uttar Pradesh
Howrah,West Bengal
Hanumāngarh,Rajasthan
Hānsi,Haryana
Hāngal,Karnataka
Handiā,Uttar Pradesh
Hamīrpur,Himachal Pradesh
Hamīrpur,Uttar Pradesh
Halvad,Gujarat
Hālol,Gujarat
Haliyal,Karnataka
Hālīsahar,West Bengal
Haldwani,Uttarakhand
Haldaur,Uttar Pradesh
Hājo,Assam
Hājīpur,Bihar
Hailākāndi,Assam
Hāflong,Assam
Hadgāon,Maharashtra
Hābra,West Bengal
Gyānpur,Uttar Pradesh
Gwalior,Madhya Pradesh
Guskhara,West Bengal
Guruvāyūr,Kerala
Guru Har Sahāi,Punjab
Gursarāi,Uttar Pradesh
Gursahāiganj,Uttar Pradesh
Gurmatkāl,Karnataka
Gurugram,Haryana
Gurdaspur,Punjab
Gunupur,Odisha
Guntur,Andhra Pradesh
Guntakal,Andhra Pradesh
Gunnaur,Uttar Pradesh
Gundlupēt,Karnataka
Guna,Madhya Pradesh
Gummidipundi,Tamil Nadu
Gumlā,Jharkhand
Gumia,Jharkhand
Guledagudda,Karnataka
Kalaburagi,Karnataka
Gulāothi,Uttar Pradesh
Gulābpura,Rajasthan
Gūduvāncheri,Tamil Nadu
Gūdūr,Andhra Pradesh
Gudiyatham,Tamil Nadu
Gudivāda,Andhra Pradesh
Gudalur,Tamil Nadu
Gudalur,Tamil Nadu
Gubbi,Karnataka
Goyerkāta,West Bengal
Govardhan,Uttar Pradesh
Gotan,Rajasthan
Gormi,Madhya Pradesh
Gorantla,Andhra Pradesh
Gorakhpur,Haryana
Gorakhpur,Uttar Pradesh
Gorai,Maharashtra
Gobichettipalayam,Tamil Nadu
Gopālganj,Bihar
Gooty,Andhra Pradesh
Gondiā,Maharashtra
Gondal,Gujarat
Gondā City,Uttar Pradesh
Gomoh,Jharkhand
Gola Gokarannāth,Uttar Pradesh
Golāghāt,Assam
Gokavaram,Andhra Pradesh
Gokarna,Karnataka
Gokak,Karnataka
Gohāna,Haryana
Gohad,Madhya Pradesh
Godhra,Gujarat
Godda,Jharkhand
Gobindpur,Jharkhand
Gobārdānga,West Bengal
Goālpāra,Assam
Giridih,Jharkhand
Gingee,Tamil Nadu
Giddarbāha,Punjab
Giddalūr,Andhra Pradesh
Ghugus,Maharashtra
Ghoti Budrukh,Maharashtra
Ghosī,Uttar Pradesh
Ghogardīha,Bihar
Ghazīpur,Uttar Pradesh
Ghāziābād,Uttar Pradesh
Ghātsīla,Jharkhand
Ghātanji,Maharashtra
Ghātampur,Uttar Pradesh
Ghātāl,West Bengal
Gharaunda,Haryana
Gairtganj,Madhya Pradesh
Gevrai,Maharashtra
Gaya,Bihar
Gauripur,Assam
Gauribidanur,Karnataka
Gaurela,Chhattisgarh
Guwahati,Assam
Garhwa,Jharkhand
Garot,Madhya Pradesh
Gariadhar,Gujarat
Garhshankar,Punjab
Garhmuktesar,Uttar Pradesh
Garhchiroli,Maharashtra
Garhākota,Madhya Pradesh
Gannavaram,Andhra Pradesh
Gangtok,Sikkim
Gangolli,Karnataka
Gangoh,Uttar Pradesh
Gangavati,Karnataka
Gangārāmpur,West Bengal
Gangāpur,Rajasthan
Gangāpur,Rajasthan
Gangāpur,Maharashtra
Sri Ganganagar,Rajasthan
Gangākher,Maharashtra
Gandhinagar,Gujarat
Gāndhīdhām,Gujarat
Gandevi,Gujarat
Ganderbal,Jammu and Kashmir
Gajwel,Telangana
Gajraula,Uttar Pradesh
Gajendragarh,Karnataka
Gadwāl,Telangana
Gadhinglaj,Maharashtra
Gadhada,Gujarat
Gādarwāra,Madhya Pradesh
Gadag,Karnataka
Fort Gloster,West Bengal
Forbesganj,Bihar
Fīrozpur Jhirka,Haryana
Firozpur,Punjab
Fīrozābād,Uttar Pradesh
Ferokh,Kerala
Fazilka,Punjab
Fatwa,Bihar
Fatehpur Sīkri,Uttar Pradesh
Fatehpur,Rajasthan
Fatehpur,Uttar Pradesh
Fatehpur,Uttar Pradesh
Fatehgarh Chūriān,Punjab
Fatehganj West,Uttar Pradesh
Fatehābād,Haryana
Fatehābād,Uttar Pradesh
Farrukhnagar,Telangana
Farrukhābād,Uttar Pradesh
Farīdpur,Uttar Pradesh
Farīdkot,Punjab
Faridabad,Haryana
Farakka,West Bengal
Fālākāta,West Bengal
